2018 SOC Code,Description
25-1042,Teacher biophysics
25-1022,Teacher biostatistics
25-1011,Teacher bookkeeping
25-1194,Teacher bookkeeping
25-1042,Teacher botany
25-1199,Teacher braille
25-1011,Teacher business administration
25-1011,Teacher business education
25-1194,Teacher business education
25-1011,Teacher business law
25-1194,Teacher business machines
25-1022,Teacher calculus
25-1042,Teacher cardiology
25-1199,Teacher cartography
25-1121,Teacher ceramics
25-1194,Teacher chef
25-1032,Teacher chemical engineering
25-1052,Teacher chemistry
25-1066,Teacher child development
25-1066,Teacher child psychology
25-1071,Teacher childbirth and infant care
25-1124,Teacher Chinese
25-1071,Teacher chiropractic
25-1121,Teacher choral
25-1126,Teacher church history
25-1069,Teacher city planning
25-1032,Teacher civil engineering
25-1123,Teacher classics
25-1051,Teacher climatology
25-1071,Teacher clinical laboratory aides
25-1194,Teacher clinical laboratory aides
25-1071,Teacher clinical laboratory service
25-1066,Teacher clinical psychology
25-1192,Teacher clothing and textiles
25-1199,Teacher college subject not specified
25-1194,Teacher commercial baking
25-1122,Teacher communications
25-1123,Teacher composition
25-1021,Teacher computer science
25-1053,Teacher conservation science
25-1192,Teacher cooking
25-1071,Teacher correctional therapy
25-1071,Teacher corrective therapy aide
25-1194,Teacher corrective therapy aide
25-1194,Teacher costume design
25-1123,Teacher creative writing
25-1111,Teacher criminal justice
25-1111,Teacher criminology
25-1022,Teacher cryptoanalysis
25-1022,Teacher cryptography
25-1051,Teacher crystallography
25-1194,Teacher culinary art
25-1062,Teacher cultural studies
25-1194,Teacher customer service representative
25-1042,Teacher cytology
25-1041,Teacher dairy husbandry
25-1041,Teacher dairy science
25-1121,Teacher dancing
25-1071,Teacher dental assistant
25-1071,Teacher dental hygiene
25-1071,Teacher dental laboratory technology
25-1071,Teacher dentistry
25-1071,Teacher dermatology
25-1032,Teacher design
25-1071,Teacher dietary aide
25-1071,Teacher dietetics
25-1071,Teacher dietitian
25-1126,Teacher divinity
25-1032,Teacher drafting
25-1121,Teacher dramatic art
25-1194,Teacher dry cleaning
25-1051,Teacher earth science
25-1042,Teacher ecology
25-1125,Teacher economic history
25-1063,Teacher economics
25-1081,Teacher education
25-1081,Teacher educational administration
25-1066,Teacher educational psychology
25-1071,Teacher educational therapy
25-1032,Teacher electrical engineering
25-1032,Teacher electronic science
25-1032,Teacher electronics
25-1194,Teacher electronics
25-1042,Teacher embryology
25-1042,Teacher endocrinology
25-1032,Teacher engineering
25-1123,Teacher English
25-1123,Teacher english literature
25-1042,Teacher entomology
25-1053,Teacher environmental science
