O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-2011.01,Green Marketers,Webtrends software,43231514,Sales and marketing software,N
11-2011.01,Green Marketers,WordPress,43232107,Web page creation and editing software,N
11-2011.01,Green Marketers,YouTube,43232103,Video creation and editing software,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe ActionScript,43232402,Development environment software,N
11-2021.00,Marketing Managers,Adobe Systems Adobe AfterEffects,43232103,Video creation and editing software,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe Creative Cloud,43232102,Graphics or photo imaging software,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe Dreamweaver,43232107,Web page creation and editing software,N
11-2021.00,Marketing Managers,Adobe Systems Adobe Fireworks,43232102,Graphics or photo imaging software,N
11-2021.00,Marketing Managers,Adobe Systems Adobe Flash,43232102,Graphics or photo imaging software,N
11-2021.00,Marketing Managers,Adobe Systems Adobe Illustrator,43232102,Graphics or photo imaging software,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe InDesign,43232112,Desktop publishing software,Y
11-2021.00,Marketing Managers,Adobe Systems Adobe Photoshop,43232102,Graphics or photo imaging software,Y
